Journal,Volume,Year,Issue,Title,Authors,FileName,URL,DOI
J of Congnitive Neuroscience,2,1990,1,Transformation from Head- to Shoulder-Centered Representation of Target Direction in Arm Movements,,Soechting et al_Transformation from Head- to Shoulder-Centered Representation of Target Direction in Arm Movements_1990.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1990.2.1.32,https://doi.org/10.1162/jocn.1990.2.1.32
J of Congnitive Neuroscience,2,1990,1,Spatially Distributed Cortical Excitation Patterns of Auditory Processing during Contralateral and Ipsilateral Stimulation,,Rogers et al_Spatially Distributed Cortical Excitation Patterns of Auditory Processing during Contralateral and Ipsilateral Stimulation_1990.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1990.2.1.44,https://doi.org/10.1162/jocn.1990.2.1.44
J of Congnitive Neuroscience,2,1990,1,Genetics and Epigenetics of Neural Function: A Model,,Kerszberg_Genetics and Epigenetics of Neural Function A Model_1990.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1990.2.1.51,https://doi.org/10.1162/jocn.1990.2.1.51
J of Congnitive Neuroscience,2,1990,1,The Bounded Brain: Toward Quantitative Neuroanatomy,,Cherniak_The Bounded Brain Toward Quantitative Neuroanatomy_1990.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1990.2.1.58,https://doi.org/10.1162/jocn.1990.2.1.58
J of Congnitive Neuroscience,3,1991,1,Preface,,Desimone_Preface_1991.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1991.3.1.ii,https://doi.org/10.1162/jocn.1991.3.1.ii
J of Congnitive Neuroscience,3,1991,1,Face-Selective Cells in the Temporal Cortex of Monkeys,,Harries & Perrett_Face-Selective Cells in the Temporal Cortex of Monkeys_1991.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1991.3.1.1,https://doi.org/10.1162/jocn.1991.3.1.1
J of Congnitive Neuroscience,3,1991,1,Visual Processing of Faces in Temporal Cortex: Physiological Evidence for a Modular Organization and Possible Anatomical Correlates,,Etcoff et al_Visual Processing of Faces in Temporal Cortex Physiological Evidence for a Modular Organization and Possible Anatomical Correlates_1991.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1991.3.1.9,https://doi.org/10.1162/jocn.1991.3.1.9
J of Congnitive Neuroscience,3,1991,1,Can We Lose Memories of Faces? Content Specificity and Awareness in a Prosopagnosic,,Hillger & Koenig_Can We Lose Memories of Faces Content Specificity and Awareness in a Prosopagnosic_1991.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1991.3.1.25,https://doi.org/10.1162/jocn.1991.3.1.25
J of Congnitive Neuroscience,3,1991,1,Separable Mechanisms in Face Processing: Evidence from Hemispheric Specialization,,Yuille_Separable Mechanisms in Face Processing Evidence from Hemispheric Specialization_1991.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1991.3.1.42,https://doi.org/10.1162/jocn.1991.3.1.42
J of Congnitive Neuroscience,3,1991,1,Deformable Templates for Face Recognition,,Turk & Pentland_Deformable Templates for Face Recognition_1991.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1991.3.1.59,https://doi.org/10.1162/jocn.1991.3.1.59
J of Congnitive Neuroscience,3,1991,1,Eigenfaces for Recognition,,Mumford_Eigenfaces for Recognition_1991.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1991.3.1.71,https://doi.org/10.1162/jocn.1991.3.1.71
J of Congnitive Neuroscience,3,1991,1,Parameterizing Exemplars of Categories,,Gazzaniga_Parameterizing Exemplars of Categories_1991.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1991.3.1.87,https://doi.org/10.1162/jocn.1991.3.1.87
J of Congnitive Neuroscience,4,1992,1,The Psychophysical Attributes of Heat-Induced Pain and Their Relationships to Neural Mechanisms,,Price et al_The Psychophysical Attributes of Heat-Induced Pain and Their Relationships to Neural Mechanisms_1992.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1992.4.1.1,https://doi.org/10.1162/jocn.1992.4.1.1
J of Congnitive Neuroscience,4,1992,1,N400 to Semantically Anomalous Pictures and Words,,Nigam et al_N400 to Semantically Anomalous Pictures and Words_1992.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1992.4.1.15,https://doi.org/10.1162/jocn.1992.4.1.15
J of Congnitive Neuroscience,4,1992,1,Dissociation of Object and Spatial Vision in Human Extrastriate Cortex: Age-Related Changes in Activation of Regional Cerebral Blood Flow Measured with [15 O]Water and Positron Emission Tomography,,Grady et al_Dissociation of Object and Spatial Vision in Human Extrastriate Cortex Age-Related Changes in Activation of Regional Cerebral Blood Flow Measured wit_1992.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1992.4.1.23,https://doi.org/10.1162/jocn.1992.4.1.23
J of Congnitive Neuroscience,4,1992,1,Direct and Indirect Cooperation between Temporal and Parietal Networks for Invariant Visual Recognition,,Otto et al_Direct and Indirect Cooperation between Temporal and Parietal Networks for Invariant Visual Recognition_1992.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1992.4.1.35,https://doi.org/10.1162/jocn.1992.4.1.35
J of Congnitive Neuroscience,4,1992,1,Facilitation of Working Memory in Humans by a D2 Dopamine Receptor Agonist,,Luciana et al_Facilitation of Working Memory in Humans by a D2 Dopamine Receptor Agonist_1992.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1992.4.1.58,https://doi.org/10.1162/jocn.1992.4.1.58
J of Congnitive Neuroscience,4,1992,1,Event-Related Potentials and Recognition Memory for Low- and High-Frequency Words,,Rugg & Doyle_Event-Related Potentials and Recognition Memory for Low- and High-Frequency Words_1992.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1992.4.1.69,https://doi.org/10.1162/jocn.1992.4.1.69
J of Congnitive Neuroscience,4,1992,1,Is Cognitive Neuropsychology Possible?,,Caramazza_Is Cognitive Neuropsychology Possible_1992.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1992.4.1.80,https://doi.org/10.1162/jocn.1992.4.1.80
J of Congnitive Neuroscience,4,1992,1,Is Cognitive Neuropsychology Plausible? The Perils of Sitting on a One-Legged Stool,,Kosslyn & Intriligator_Is Cognitive Neuropsychology Plausible The Perils of Sitting on a One-Legged Stool_1992.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1992.4.1.96,https://doi.org/10.1162/jocn.1992.4.1.96
J of Congnitive Neuroscience,5,1993,1,Neurophysiological Manifestations of Recollective Experience during Recognition Memory Judgments,,Smith_Neurophysiological Manifestations of Recollective Experience during Recognition Memory Judgments_1993.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1993.5.1.1,https://doi.org/10.1162/jocn.1993.5.1.1
J of Congnitive Neuroscience,5,1993,1,A Neural Network Model of Cortical Activity during Reaching,,Kettner et al_A Neural Network Model of Cortical Activity during Reaching_1993.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1993.5.1.14,https://doi.org/10.1162/jocn.1993.5.1.14
J of Congnitive Neuroscience,5,1993,1,The Processing Nature of the N400: Evidence from Masked Priming,,Brown & Hagoort_The Processing Nature of the N400 Evidence from Masked Priming_1993.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1993.5.1.34,https://doi.org/10.1162/jocn.1993.5.1.34
J of Congnitive Neuroscience,5,1993,1,Differential Effects of Semantic and Identity Priming in Patients with Left and Right Hemisphere Lesions,,Henik et al_Differential Effects of Semantic and Identity Priming in Patients with Left and Right Hemisphere Lesions_1993.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1993.5.1.45,https://doi.org/10.1162/jocn.1993.5.1.45
J of Congnitive Neuroscience,5,1993,1,Distributed Representation of Limb Motor Programs in Arrays of Adjustable Pattern Generators,,Berthier et al_Distributed Representation of Limb Motor Programs in Arrays of Adjustable Pattern Generators_1993.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1993.5.1.56,https://doi.org/10.1162/jocn.1993.5.1.56
J of Congnitive Neuroscience,5,1993,1,The Covert Learning of Affective Valence Does Not Require Structures in Hippocampal System or Amygdala,,Tranel & Damasio_The Covert Learning of Affective Valence Does Not Require Structures in Hippocampal System or Amygdala_1993.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1993.5.1.79,https://doi.org/10.1162/jocn.1993.5.1.79
J of Congnitive Neuroscience,5,1993,1,Perseverative and Semantic Influences on Visual Object Naming Errors in Optic Aphasia: A Connectionist Account,,Plaut & Shallice_Perseverative and Semantic Influences on Visual Object Naming Errors in Optic Aphasia A Connectionist Account_1993.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1993.5.1.89,https://doi.org/10.1162/jocn.1993.5.1.89
J of Congnitive Neuroscience,5,1993,1,A Spurious Category-Specific Visual Agnosia for Living Things in Normal Human and Nonhuman Primates,,Gaffan & Heywood_A Spurious Category-Specific Visual Agnosia for Living Things in Normal Human and Nonhuman Primates_1993.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1993.5.1.118,https://doi.org/10.1162/jocn.1993.5.1.118
J of Congnitive Neuroscience,6,1994,1,Object-Centered Neglect in Patients with Unilateral Neglect: Effects of Left-Right Coordinates of Objects,,Behrmann & Moscovitch_Object-Centered Neglect in Patients with Unilateral Neglect Effects of Left-Right Coordinates of Objects_1994.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1994.6.1.1,https://doi.org/10.1162/jocn.1994.6.1.1
J of Congnitive Neuroscience,6,1994,1,The Role of the Anterior Attention System in Semantic Processing of both Foveal and Parafoveal Words,,Fuentes et al_The Role of the Anterior Attention System in Semantic Processing of both Foveal and Parafoveal Words_1994.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1994.6.1.17,https://doi.org/10.1162/jocn.1994.6.1.17
J of Congnitive Neuroscience,6,1994,1,Summation Priming and Coarse Semantic Coding in the Right Hemisphere,,Beeman et al_Summation Priming and Coarse Semantic Coding in the Right Hemisphere_1994.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1994.6.1.26,https://doi.org/10.1162/jocn.1994.6.1.26
J of Congnitive Neuroscience,6,1994,1,The Nature and Limits of Orientation and Pattern Processing Supporting Visuomotor Control in a Visual Form Agnosic,,Goodale et al_The Nature and Limits of Orientation and Pattern Processing Supporting Visuomotor Control in a Visual Form Agnosic_1994.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1994.6.1.46,https://doi.org/10.1162/jocn.1994.6.1.46
J of Congnitive Neuroscience,6,1994,1,The Impact of Semantic Memory Loss on Phonological Representations,,Patterson et al_The Impact of Semantic Memory Loss on Phonological Representations_1994.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1994.6.1.57,https://doi.org/10.1162/jocn.1994.6.1.57
J of Congnitive Neuroscience,6,1994,1,Global Semantic Expectancy and Language Comprehension,,St. George et al_Global Semantic Expectancy and Language Comprehension_1994.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1994.6.1.70,https://doi.org/10.1162/jocn.1994.6.1.70
J of Congnitive Neuroscience,6,1994,1,Independent Attentional Scanning in the Separated Hemispheres of Split-Brain Patients,,Luck et al_Independent Attentional Scanning in the Separated Hemispheres of Split-Brain Patients_1994.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1994.6.1.84,https://doi.org/10.1162/jocn.1994.6.1.84
J of Congnitive Neuroscience,6,1994,1,On Language,,Pinker_On Language_1994.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1994.6.1.92,https://doi.org/10.1162/jocn.1994.6.1.92
J of Congnitive Neuroscience,7,1995,1,Do Rats Have Prefrontal Cortex? The Rose-Woolsey-Akert Program Reconsidered,,Preuss_Do Rats Have Prefrontal Cortex The Rose-Woolsey-Akert Program Reconsidered_1995.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1995.7.1.1,https://doi.org/10.1162/jocn.1995.7.1.1
J of Congnitive Neuroscience,7,1995,1,Central Auditory System Plasticity Associated with Speech Discrimination Training,,Kraus et al_Central Auditory System Plasticity Associated with Speech Discrimination Training_1995.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1995.7.1.25,https://doi.org/10.1162/jocn.1995.7.1.25
J of Congnitive Neuroscience,7,1995,1,Semantic Facilitation in Aphasia: Effects of Time and Expectancy,,Milberg et al_Semantic Facilitation in Aphasia Effects of Time and Expectancy_1995.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1995.7.1.33,https://doi.org/10.1162/jocn.1995.7.1.33
J of Congnitive Neuroscience,7,1995,1,"Distinct Cortical Activation Patterns during Long-Term Memory Retrieval of Verbal, Spatial, and Color Information",,"Rösler et al_Distinct Cortical Activation Patterns during Long-Term Memory Retrieval of Verbal, Spatial, and Color Information_1995.pdf",https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1995.7.1.51,https://doi.org/10.1162/jocn.1995.7.1.51
J of Congnitive Neuroscience,7,1995,1,Memory Representations in Natural Tasks,,Ballard et al_Memory Representations in Natural Tasks_1995.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1995.7.1.66,https://doi.org/10.1162/jocn.1995.7.1.66
J of Congnitive Neuroscience,7,1995,1,The Nature of Preattentive Storage in the Auditory System,,Gomes et al_The Nature of Preattentive Storage in the Auditory System_1995.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1995.7.1.81,https://doi.org/10.1162/jocn.1995.7.1.81
J of Congnitive Neuroscience,7,1995,1,On Neural Codes and Perception,,Newsome_On Neural Codes and Perception_1995.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1995.7.1.95,https://doi.org/10.1162/jocn.1995.7.1.95
J of Congnitive Neuroscience,7,1995,1,A Dynamic Systems Approach to Development: Applications; The Language Instinct,,Marler_A Dynamic Systems Approach to Development Applications; The Language Instinct_1995.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1995.7.1.101,https://doi.org/10.1162/jocn.1995.7.1.101
J of Congnitive Neuroscience,8,1996,1,Computerized Mappings of the Cerebral Cortex: A Multiresolution Flattening Method and a Surface-Based Coordinate System,,Drury et al_Computerized Mappings of the Cerebral Cortex A Multiresolution Flattening Method and a Surface-Based Coordinate System_1996.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1996.8.1.1,https://doi.org/10.1162/jocn.1996.8.1.1
J of Congnitive Neuroscience,8,1996,1,Hearing in the Mind's Ear: A PET Investigation of Musical Imagery and Perception,,Zatorre et al_Hearing in the Mind's Ear A PET Investigation of Musical Imagery and Perception_1996.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1996.8.1.29,https://doi.org/10.1162/jocn.1996.8.1.29
J of Congnitive Neuroscience,8,1996,1,The Organization of Brain Activations in Number Comparison: Event-Related Potentials and the Additive-Factors Method,,Dehaene_The Organization of Brain Activations in Number Comparison Event-Related Potentials and the Additive-Factors Method_1996.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1996.8.1.47,https://doi.org/10.1162/jocn.1996.8.1.47
J of Congnitive Neuroscience,8,1996,1,Neural Representations: Some Old Problems Revisited,,Milner_Neural Representations Some Old Problems Revisited_1996.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1996.8.1.69,https://doi.org/10.1162/jocn.1996.8.1.69
J of Congnitive Neuroscience,8,1996,1,Individual Differences in Cerebral Blood Flow in Area 17 Predict the Time to Evaluate Visualized Letters,,Kosslyn et al_Individual Differences in Cerebral Blood Flow in Area 17 Predict the Time to Evaluate Visualized Letters_1996.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1996.8.1.78,https://doi.org/10.1162/jocn.1996.8.1.78
J of Congnitive Neuroscience,9,1997,1,Imaging Cognition: An Empirical Review of PET Studies with Normal Subjects,,Cabeza & Nyberg_Imaging Cognition An Empirical Review of PET Studies with Normal Subjects_1997.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1997.9.1.1,https://doi.org/10.1162/jocn.1997.9.1.1
J of Congnitive Neuroscience,9,1997,1,Spontaneous Eye Movements During Visual Imagery Reflect the Content of the Visual Scene,,Brandt & Stark_Spontaneous Eye Movements During Visual Imagery Reflect the Content of the Visual Scene_1997.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1997.9.1.27,https://doi.org/10.1162/jocn.1997.9.1.27
J of Congnitive Neuroscience,9,1997,1,Spoken Sentence Comprehension in Aphasia: Event-related Potential Evidence for a Lexical Integration Deficit,,Swaab et al_Spoken Sentence Comprehension in Aphasia Event-related Potential Evidence for a Lexical Integration Deficit_1997.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1997.9.1.39,https://doi.org/10.1162/jocn.1997.9.1.39
J of Congnitive Neuroscience,9,1997,1,Eye Movements and Orienting of Attention in Patients with Visual Neglect,,Làdavas et al_Eye Movements and Orienting of Attention in Patients with Visual Neglect_1997.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1997.9.1.67,https://doi.org/10.1162/jocn.1997.9.1.67
J of Congnitive Neuroscience,9,1997,1,Distributed Cortical Network for Visual Attention,,Knight_Distributed Cortical Network for Visual Attention_1997.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1997.9.1.75,https://doi.org/10.1162/jocn.1997.9.1.75
J of Congnitive Neuroscience,9,1997,1,Hemispheric Organization of Visual Memories,,Gratton et al_Hemispheric Organization of Visual Memories_1997.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1997.9.1.92,https://doi.org/10.1162/jocn.1997.9.1.92
J of Congnitive Neuroscience,9,1997,1,Implicit and Explicit Conceptual Memory Following Frontal Lobe Damage,,Gershberg_Implicit and Explicit Conceptual Memory Following Frontal Lobe Damage_1997.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1997.9.1.105,https://doi.org/10.1162/jocn.1997.9.1.105
J of Congnitive Neuroscience,9,1997,1,Cortical Synchronization and Perceptual Framing,,Grossberg & Grunewald_Cortical Synchronization and Perceptual Framing_1997.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1997.9.1.117,https://doi.org/10.1162/jocn.1997.9.1.117
J of Congnitive Neuroscience,9,1997,1,A Locus in Human Extrastriate Cortex for Visual Shape Analysis,,Kanwisher et al_A Locus in Human Extrastriate Cortex for Visual Shape Analysis_1997.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1997.9.1.133,https://doi.org/10.1162/jocn.1997.9.1.133
J of Congnitive Neuroscience,9,1997,1,Memory Encoding Following Complete Callosotomy,,Jha et al_Memory Encoding Following Complete Callosotomy_1997.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1997.9.1.143,https://doi.org/10.1162/jocn.1997.9.1.143
J of Congnitive Neuroscience,9,1997,1,On Knowing the Auxiliary of a Verb That Cannot Be Named: Evidence for the Independence of Grammatical and Phonological Aspects of Lexical Knowledge,,Miozzo & Caramazza_On Knowing the Auxiliary of a Verb That Cannot Be Named Evidence for the Independence of Grammatical and Phonological Aspects of Lexical Knowledge_1997.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1997.9.1.160,https://doi.org/10.1162/jocn.1997.9.1.160
J of Congnitive Neuroscience,9,1997,1,Research Strategies for Functional Neuroimaging: A Comment on the Interview with R.G. Shulman,,Smith_Research Strategies for Functional Neuroimaging A Comment on the Interview with R.G. Shulman_1997.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1997.9.1.167,https://doi.org/10.1162/jocn.1997.9.1.167
J of Congnitive Neuroscience,9,1997,1,To the Editor,,Shulman_To the Editor_1997.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1997.9.1.170,https://doi.org/10.1162/jocn.1997.9.1.170
J of Congnitive Neuroscience,10,1998,1,Editor's Note,,Gazzaniga_Editor's Note_1998.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/089892998563734,https://doi.org/10.1162/089892998563734
J of Congnitive Neuroscience,10,1998,1,Domain-Specific Knowledge Systems in the Brain: The Animate-Inanimate Distinction,,Caramazza & Shelton_Domain-Specific Knowledge Systems in the Brain The Animate-Inanimate Distinction_1998.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/089892998563752,https://doi.org/10.1162/089892998563752
J of Congnitive Neuroscience,10,1998,1,A Model of Reaching Dynamics in Primary Motor Cortex,,Moody & Zipser_A Model of Reaching Dynamics in Primary Motor Cortex_1998.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/089892998563761,https://doi.org/10.1162/089892998563761
J of Congnitive Neuroscience,10,1998,1,Binocular Rivalry and Motion Perception,,Blake et al_Binocular Rivalry and Motion Perception_1998.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/089892998563770,https://doi.org/10.1162/089892998563770
J of Congnitive Neuroscience,10,1998,1,Knowing Where Things Are: Parahippocampal Involvement in Encoding Object Locations in Virtual Large-Scale Space,,Maguire et al_Knowing Where Things Are Parahippocampal Involvement in Encoding Object Locations in Virtual Large-Scale Space_1998.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/089892998563789,https://doi.org/10.1162/089892998563789
J of Congnitive Neuroscience,10,1998,1,Category-Specific Semantic Deficits in Focal and Widespread Brain Damage: A Computational Account,,Devlin et al_Category-Specific Semantic Deficits in Focal and Widespread Brain Damage A Computational Account_1998.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/089892998563798,https://doi.org/10.1162/089892998563798
J of Congnitive Neuroscience,10,1998,1,Visuospatial Attention Shift and Motor Responses in Cerebellar Disorders,,Yamaguchi et al_Visuospatial Attention Shift and Motor Responses in Cerebellar Disorders_1998.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/089892998563806,https://doi.org/10.1162/089892998563806
J of Congnitive Neuroscience,10,1998,1,A Computational Model of How the Basal Ganglia Produce Sequences,,Berns & Sejnowski_A Computational Model of How the Basal Ganglia Produce Sequences_1998.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/089892998563815,https://doi.org/10.1162/089892998563815
J of Congnitive Neuroscience,10,1998,1,The Effect of Pictorial Illusion on Prehension and Perception,,Haffenden & Goodale_The Effect of Pictorial Illusion on Prehension and Perception_1998.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/089892998563824,https://doi.org/10.1162/089892998563824
J of Congnitive Neuroscience,10,1998,1,Switching Attention without Shifting the Spotlight: Object-Based Attentional Modulation of Brain Potentials,,Valdes-Sosa et al_Switching Attention without Shifting the Spotlight Object-Based Attentional Modulation of Brain Potentials_1998.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/089892998563743,https://doi.org/10.1162/089892998563743
J of Congnitive Neuroscience,11,1999,1,Editor's Note and Announcement of a New Journal Section,,Gazzaniga_Editor's Note and Announcement of a New Journal Section_1999.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/089892999563157,https://doi.org/10.1162/089892999563157
J of Congnitive Neuroscience,11,1999,1,Effects of Background Color on the Global and Local Processing of Hierarchically Organized Stimuli,,Michimata et al_Effects of Background Color on the Global and Local Processing of Hierarchically Organized Stimuli_1999.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/089892999563201,https://doi.org/10.1162/089892999563201
J of Congnitive Neuroscience,11,1999,1,In This Issue,,Wickersham_In This Issue_1999.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/089892999563193,https://doi.org/10.1162/089892999563193
J of Congnitive Neuroscience,11,1999,1,Graded Functional Activation in the Visuospatial System with the Amount of Task Demand,,Carpenter et al_Graded Functional Activation in the Visuospatial System with the Amount of Task Demand_1999.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/089892999563210,https://doi.org/10.1162/089892999563210
J of Congnitive Neuroscience,11,1999,1,"Cortical Regions Associated with Perceiving, Naming, and Knowing about Colors",,"Chao & Martin_Cortical Regions Associated with Perceiving, Naming, and Knowing about Colors_1999.pdf",https://www.mitpressjournals.org/doi/pdf/10.1162/089892999563229,https://doi.org/10.1162/089892999563229
